Date,Rank,Artist,Monthly Listeners (Millions)
January 2021,10,Shawn Mendes,48.3
February 2021,1,The Weeknd,74.75
February 2021,2,Justin Bieber,63.26
February 2021,3,Dua Lipa,63.16
February 2021,4,Ariana Grande,61.58
February 2021,5,Ed Sheeran,56.58
February 2021,6,J Balvin,55.25
February 2021,7,Drake,50.84
February 2021,8,Billie Eilish,49.85
February 2021,9,Bad Bunny,48.01
February 2021,10,Taylor Swift,47.37
March 2021,1,The Weeknd,69.93
March 2021,2,Justin Bieber,68.62
March 2021,3,Dua Lipa,61.53
March 2021,4,Drake,57.07
March 2021,5,Ariana Grande,56.37
March 2021,6,J Balvin,53.62
March 2021,7,Ed Sheeran,52.76
March 2021,8,Bruno Mars,52.02
March 2021,9,Maroon 5,50.05
March 2021,10,Khalid,48.37
April 2021,1,Justin Bieber,76.49
April 2021,2,The Weeknd,69.27
April 2021,3,Dua Lipa,64.06
April 2021,4,Ariana Grande,57.37
April 2021,5,Bruno Mars,56.67
April 2021,6,J Balvin,54.53
April 2021,7,Khalid,53.38
April 2021,8,Drake,53.29
April 2021,9,Maroon 5,52.5
April 2021,10,Ed Sheeran,51.86
May 2021,1,Justin Bieber,73.58
May 2021,2,The Weeknd,69
May 2021,3,Dua Lipa,67.6
May 2021,4,Ariana Grande,63.17
May 2021,5,Bruno Mars,58.58
May 2021,6,DaBaby,55.75
May 2021,7,Billie Eilish,53.87
May 2021,8,Drake,52.81
May 2021,9,Doja Cat,52.72
May 2021,10,David Guetta,52.46
June 2021,1,Justin Bieber,71.3
June 2021,2,The Weeknd,69.43
June 2021,3,Dua Lipa,68.62
June 2021,4,Ariana Grande,62.15
June 2021,5,Olivia Rodrigo,60.56
June 2021,6,Bruno Mars,56
June 2021,7,J Balvin,55.95
June 2021,8,DaBaby,55.6
June 2021,9,Doja Cat,55.1
June 2021,10,Maroon 5,54.9
July 2021,1,Justin Bieber,74.3
July 2021,2,The Weeknd,70.88
July 2021,3,Ed Sheeran,69.09
July 2021,4,Dua Lipa,66.29
July 2021,5,Ariana Grande,60.22
July 2021,6,J Balvin,59.93
July 2021,7,Olivia Rodrigo,58.81
July 2021,8,Doja Cat,58.49
July 2021,9,David Guetta,55.12
July 2021,10,Bruno Mars,53.51
August 2021,1,Justin Bieber,84.29
August 2021,2,The Weeknd,75.02
August 2021,3,Ed Sheeran,72.72
August 2021,4,Dua Lipa,65.47
August 2021,5,Doja Cat,61.29
August 2021,6,Ariana Grande,59.63
August 2021,7,The Kid Laroi,58.73
August 2021,8,J Balvin,58.47
August 2021,9,Billie Eilish,55.63
August 2021,10,Lil Nas X,55.43
September 2021,1,Justin Bieber,86.08
September 2021,2,Ed Sheeran,74.52
September 2021,3,The Weeknd,70.21
September 2021,4,Drake,68.01
September 2021,5,Dua Lipa,64.93
September 2021,6,Doja Cat,63.56
September 2021,7,The Kid Laroi,62.09
September 2021,8,Lil Nas X,60.51
September 2021,9,J Balvin,58.81
September 2021,10,Ariana Grande,57.25
October 2021,1,Justin Bieber,83.79
October 2021,2,Ed Sheeran,75.49
October 2021,3,The Weeknd,71.29
October 2021,4,Dua Lipa,67.9
October 2021,5,Coldplay,62.55
October 2021,6,Doja Cat,60.96
October 2021,7,Lil Nas X,60.31
October 2021,8,Drake,59.83
October 2021,9,Adele,57.92
October 2021,10,The Kid Laroi,57.27
November 2021,1,Justin Bieber,83.22
November 2021,2,Ed Sheeran,80.01
November 2021,3,The Weeknd,79.48
November 2021,4,Adele,68.27
